"Local","Quest","Arquivo","Linha","Tipo","Requisito","Storage","Item","Quantidade","Level","NPC","Teleport","Porta","Lever","ActionId","UniqueId","ConsequenciaAtual","BypassExistente","RequisitoNovo","Proposta","QuestPreservada"
"Server/data/items/items.xml","","Server/data/items/items.xml","76517","B_KEY_ACCESS","<attribute key=""transformOnUse"" value=""43954"" />","","","","","","False","True","False","","","Condiciona acesso/progresso; requer revisao contextual.","False","Preservado apos revisao: nao comprovado como gate puramente fisico.","Permitir passagem sem chave; nao entregar nem consumir chave.","True"
"Server/data/items/items.xml","","Server/data/items/items.xml","76522","B_KEY_ACCESS","<attribute key=""transformOnUse"" value=""43955"" />","","","","","","False","True","False","","","Condiciona acesso/progresso; requer revisao contextual.","False","Preservado apos revisao: nao comprovado como gate puramente fisico.","Permitir passagem sem chave; nao entregar nem consumir chave.","True"
"Server/data/items/items.xml","","Server/data/items/items.xml","76526","B_KEY_ACCESS","<attribute key=""transformOnUse"" value=""43952"" />","","","","","","False","True","False","","","Condiciona acesso/progresso; requer revisao contextual.","False","Preservado apos revisao: nao comprovado como gate puramente fisico.","Permitir passagem sem chave; nao entregar nem consumir chave.","True"
"Server/data/items/items.xml","","Server/data/items/items.xml","76530","B_KEY_ACCESS","<attribute key=""transformOnUse"" value=""43953"" />","","","","","","False","True","False","","","Condiciona acesso/progresso; requer revisao contextual.","False","Preservado apos revisao: nao comprovado como gate puramente fisico.","Permitir passagem sem chave; nao entregar nem consumir chave.","True"
"Server/data/items/items.xml","","Server/data/items/items.xml","84705","B_KEY_ACCESS","<attribute key=""transformOnUse"" value=""50321"" />","","","","","","False","False","False","","","Condiciona acesso/progresso; requer revisao contextual.","False","Preservado apos revisao: nao comprovado como gate puramente fisico.","Permitir passagem sem chave; nao entregar nem consumir chave.","True"
"Server/data/libs/functions/boss_lever","","Server/data/libs/functions/boss_lever.lua","187","B_KEY_ACCESS","if not bossAccessUnlocked and checkAccountType and not isGameTester and creature:getLevel() < self.requiredLevel then","","","","","","False","False","False","","","Nega uso ou passagem.","True","Sem requisito de quest/storage/item para acesso fisico.","Liberado pela camada central de exploracao livre; storage/progresso/reward preservados.","True"
"Server/data/libs/functions/functions","","Server/data/libs/functions/functions.lua","93","A_QUEST_ACCESS_GATE","if player:getStorageValue(Storage.TibiaTales.JackFutureQuest.LastMissionState) == 1 then","Storage.TibiaTales.JackFutureQuest.LastMissionState","","","","","False","False","False","","","Condiciona acesso/progresso; requer revisao contextual.","False","Preservado apos revisao: nao comprovado como gate puramente fisico.","Ignorar requisito quando usado somente para acesso fisico.","True"
"Server/data/libs/functions/functions","","Server/data/libs/functions/functions.lua","370","F_DOOR_WALL_BARRIER","if not wallTile or wallTile:getItemCountById(7181) > 0 then","","","","","","False","False","False","","","Nega uso ou passagem.","False","Preservado apos revisao: nao comprovado como gate puramente fisico.","Permitir passagem sem remover reward ou progresso da quest.","True"
"Server/data/libs/functions/functions","","Server/data/libs/functions/functions.lua","378","F_DOOR_WALL_BARRIER","if it and it[1] == toPosition and Tile(it[3]):getItemCountById(it[2][1], it[2][2]) > 0 then","","getItemById(1085","","","","False","False","False","","","Condiciona acesso/progresso; requer revisao contextual.","False","Preservado apos revisao: nao comprovado como gate puramente fisico.","Permitir passagem sem remover reward ou progresso da quest.","True"
"Server/data/libs/functions/quests","","Server/data/libs/functions/quests.lua","219","A_QUEST_ACCESS_GATE","if quest and self:getStorageValue(quest.startStorageId) ~= -1 or self:getStorageValue(quest.startStorageId) >= quest.startStorageValue then","","","","","","False","False","False","","","Nega uso ou passagem.","False","Preservado apos revisao: nao comprovado como gate puramente fisico.","Ignorar requisito quando usado somente para acesso fisico.","True"
"Server/data/npclib/npc_system/bank_system","","Server/data/npclib/npc_system/bank_system.lua","344","PRESERVE_REWARD_OR_PROGRESS","if player:removeItem(ITEM_GOLD_COIN, count[playerId] * 100) then","","","removeItem(ITEM_GOLD_COIN, ","","","False","False","False","","","Condiciona acesso/progresso; requer revisao contextual.","False","Inalterado.","Preservar: nao e um gate puramente fisico ou envolve reward/mecanica.","False"
"Server/data/npclib/npc_system/bank_system","","Server/data/npclib/npc_system/bank_system.lua","379","PRESERVE_REWARD_OR_PROGRESS","if player:removeItem(ITEM_PLATINUM_COIN, count[playerId]) then","","","removeItem(ITEM_PLATINUM_COIN, ","","","False","False","False","","","Condiciona acesso/progresso; requer revisao contextual.","False","Inalterado.","Preservar: nao e um gate puramente fisico ou envolve reward/mecanica.","False"
"Server/data/npclib/npc_system/bank_system","","Server/data/npclib/npc_system/bank_system.lua","400","PRESERVE_REWARD_OR_PROGRESS","if player:removeItem(ITEM_PLATINUM_COIN, count[playerId] * 100) then","","","removeItem(ITEM_PLATINUM_COIN, ","","","False","False","False","","","Condiciona acesso/progresso; requer revisao contextual.","False","Inalterado.","Preservar: nao e um gate puramente fisico ou envolve reward/mecanica.","False"
"Server/data/npclib/npc_system/bank_system","","Server/data/npclib/npc_system/bank_system.lua","424","PRESERVE_REWARD_OR_PROGRESS","if player:removeItem(ITEM_CRYSTAL_COIN, count[playerId]) then","","","removeItem(ITEM_CRYSTAL_COIN, ","","","False","False","False","","","Condiciona acesso/progresso; requer revisao contextual.","False","Inalterado.","Preservar: nao e um gate puramente fisico ou envolve reward/mecanica.","False"
"Server/data/npclib/npc_system/custom_modules","","Server/data/npclib/npc_system/custom_modules.lua","11","D_NPC_ACCESS","if discount and player:getStorageValue(discount.storage) >= discount.value then","","","","","","False","False","False","","","Condiciona acesso/progresso; requer revisao contextual.","False","Preservado apos revisao: nao comprovado como gate puramente fisico.","Permitir transporte/entrada sem progresso anterior; preservar dialogo e quest.","True"
"Server/data/npclib/npc_system/custom_modules","","Server/data/npclib/npc_system/custom_modules.lua","17","D_NPC_ACCESS","if discount and player:getStorageValue(discount.storage) >= discount.value then","","","","","","False","False","False","","","Condiciona acesso/progresso; requer revisao contextual.","False","Preservado apos revisao: nao comprovado como gate puramente fisico.","Permitir transporte/entrada sem progresso anterior; preservar dialogo e quest.","True"
"Server/data/npclib/npc_system/modules","","Server/data/npclib/npc_system/modules.lua","102","A_QUEST_ACCESS_GATE","if player:isPremium() or not parameters.premium then","","","","","","False","False","False","","","Condiciona acesso/progresso; requer revisao contextual.","False","Preservado apos revisao: nao comprovado como gate puramente fisico.","Ignorar requisito quando usado somente para acesso fisico.","True"
"Server/data/npclib/npc_system/modules","","Server/data/npclib/npc_system/modules.lua","107","G_LEVEL_ACCESS","elseif player:getLevel() < parameters.level then","","","","","","False","False","False","","","Condiciona acesso/progresso; requer revisao contextual.","False","ceil(level original / 2), minimo 1.","Reduzir apenas o level de entrada com ceil(original/2).","True"
"Server/data/npclib/npc_system/modules","","Server/data/npclib/npc_system/modules.lua","134","A_QUEST_ACCESS_GATE","if player:isPremium() or not parameters.premium then","","","","","","False","False","False","","","Condiciona acesso/progresso; requer revisao contextual.","False","Preservado apos revisao: nao comprovado como gate puramente fisico.","Ignorar requisito quando usado somente para acesso fisico.","True"
"Server/data/npclib/npc_system/modules","","Server/data/npclib/npc_system/modules.lua","169","A_QUEST_ACCESS_GATE","elseif parameters.bless == 3 and player:getStorageValue(Storage.KawillBlessing) ~= 1 then","Storage.KawillBlessing","getItemById(3057","","","","False","False","False","","","Condiciona acesso/progresso; requer revisao contextual.","False","Preservado apos revisao: nao comprovado como gate puramente fisico.","Ignorar requisito quando usado somente para acesso fisico.","True"
"Server/data/npclib/npc_system/modules","","Server/data/npclib/npc_system/modules.lua","171","C_QUEST_ITEM_ACCESS","elseif parameters.bless == 1 and #player:getBlessings() == 0 and not player:getItemById(3057, true) then","Storage.KawillBlessing","getItemById(3057","","","","False","False","False","","","Condiciona acesso/progresso; requer revisao contextual.","False","Preservado apos revisao: nao comprovado como gate puramente fisico.","Criar bypass somente de passagem, sem item e sem alterar storage.","True"
"Server/data/npclib/npc_system/modules","","Server/data/npclib/npc_system/modules.lua","219","D_NPC_ACCESS","if parameters.premium and not player:isPremium() then","","","","","","False","False","False","","","Condiciona acesso/progresso; requer revisao contextual.","False","Preservado apos revisao: nao comprovado como gate puramente fisico.","Permitir transporte/entrada sem progresso anterior; preservar dialogo e quest.","True"
"Server/data/npclib/npc_system/modules","","Server/data/npclib/npc_system/modules.lua","221","B_KEY_ACCESS","elseif parameters.level and player:getLevel() < parameters.level then","","","","","","False","False","False","","","Nega uso ou passagem.","False","Preservado apos revisao: nao comprovado como gate puramente fisico.","Permitir passagem sem chave; nao entregar nem consumir chave.","True"
"Server/data/npclib/npc_system/modules","","Server/data/npclib/npc_system/modules.lua","248","D_NPC_ACCESS","if player:getStorageValue(Storage.Quest.U8_1.WhatAFoolishQuest.PieBoxTimer) > os.time() then","Storage.Quest.U8_1.WhatAFoolishQuest.PieBoxTimer","","","","","False","False","False","","","Condiciona acesso/progresso; requer revisao contextual.","False","Preservado apos revisao: nao comprovado como gate puramente fisico.","Permitir transporte/entrada sem progresso anterior; preservar dialogo e quest.","True"
"Server/data/npclib/npc_system/modules","","Server/data/npclib/npc_system/modules.lua","540","B_KEY_ACCESS","if player:isPremium() or not premium then","","","","","","False","False","False","","","Nega uso ou passagem.","False","Preservado apos revisao: nao comprovado como gate puramente fisico.","Permitir passagem sem chave; nao entregar nem consumir chave.","True"
"Server/data/npclib/npc_system/modules","","Server/data/npclib/npc_system/modules.lua","587","E_TELEPORT_ACCESS","if player:isPremium() or not parameters.premium then","","","","","","True","False","False","","","Bloqueia ou permite teleport/passagem.","False","Preservado apos revisao: nao comprovado como gate puramente fisico.","Permitir uso do teleport sem storage/item de acesso.","True"
"Server/data/npclib/npc_system/npc_handler","","Server/data/npclib/npc_system/npc_handler.lua","600","A_QUEST_ACCESS_GATE","if not playerUniqueId then","","","","","","False","False","False","","","Condiciona acesso/progresso; requer revisao contextual.","False","Preservado apos revisao: nao comprovado como gate puramente fisico.","Ignorar requisito quando usado somente para acesso fisico.","True"
"Server/data/npclib/npc_system/npc_handler","","Server/data/npclib/npc_system/npc_handler.lua","605","A_QUEST_ACCESS_GATE","if not npcUniqueId then","","","","","","False","False","False","","","Condiciona acesso/progresso; requer revisao contextual.","False","Preservado apos revisao: nao comprovado como gate puramente fisico.","Ignorar requisito quando usado somente para acesso fisico.","True"
"Server/data/scripts/actions/doors/key_door","","Server/data/scripts/actions/doors/key_door.lua","33","B_KEY_ACCESS","if not doorAccessUnlocked and (table.contains(keyLockedDoor, item.itemid) or (table.contains(keyUnlockedDoor, item.itemid) and table.contains({ 1001, 101 }, item.actionid))) then","","","","","","False","True","False","","","Nega uso ou passagem.","True","Sem requisito de quest/storage/item para acesso fisico.","Liberado pela camada central de exploracao livre; storage/progresso/reward preservados.","True"
"Server/data/scripts/actions/doors/key_door","","Server/data/scripts/actions/doors/key_door.lua","78","B_KEY_ACCESS","if target.actionid > 0 then","","","","","","False","True","False","","","Nega uso ou passagem.","True","Sem requisito de quest/storage/item para acesso fisico.","Liberado pela camada central de exploracao livre; storage/progresso/reward preservados.","True"
"Server/data/scripts/actions/doors/key_door","","Server/data/scripts/actions/doors/key_door.lua","80","B_KEY_ACCESS","if item.actionid ~= target.actionid and value.lockedDoor == target.itemid then","","","","","","False","True","False","","","Nega uso ou passagem.","True","Sem requisito de quest/storage/item para acesso fisico.","Liberado pela camada central de exploracao livre; storage/progresso/reward preservados.","True"
"Server/data/scripts/actions/doors/key_door","","Server/data/scripts/actions/doors/key_door.lua","84","B_KEY_ACCESS","if item.actionid == target.actionid then","","","","","","False","True","False","","","Nega uso ou passagem.","True","Sem requisito de quest/storage/item para acesso fisico.","Liberado pela camada central de exploracao livre; storage/progresso/reward preservados.","True"
"Server/data/scripts/actions/doors/level_door","","Server/data/scripts/actions/doors/level_door.lua","16","F_DOOR_WALL_BARRIER","local requiredLevel = item.actionid > 0 and item.actionid - 1000 or 0","","","","","","False","True","False","","","Condiciona acesso/progresso; requer revisao contextual.","True","Sem requisito de quest/storage/item para acesso fisico.","Liberado pela camada central de exploracao livre; storage/progresso/reward preservados.","True"
"Server/data/scripts/actions/doors/level_door","","Server/data/scripts/actions/doors/level_door.lua","21","G_LEVEL_ACCESS","if requiredLevel <= 0 or player:getLevel() >= requiredLevel then","","","","","","True","True","False","","","Bloqueia ou permite teleport/passagem.","True","ceil(level original / 2), minimo 1.","Liberado pela camada central de exploracao livre; storage/progresso/reward preservados.","True"
"Server/data/scripts/actions/doors/quest_door","","Server/data/scripts/actions/doors/quest_door.lua","19","B_KEY_ACCESS","if doorAccessUnlocked or questAccessUnlocked or (item.actionid > 0 and player:getStorageValue(item.actionid) ~= -1) then","","","","","","True","True","False","","","Bloqueia ou permite teleport/passagem.","True","Sem requisito de quest/storage/item para acesso fisico.","Liberado pela camada central de exploracao livre; storage/progresso/reward preservados.","True"
"Server/data/scripts/actions/items/potions","","Server/data/scripts/actions/items/potions.lua","74","G_LEVEL_ACCESS","if not player:getGroup():getAccess() and (potion.level and player:getLevel() < potion.level or potion.vocations and not table.contains(potion.vocations, player:getVocation():getBaseId())) then","","","","","","False","False","False","","","Condiciona acesso/progresso; requer revisao contextual.","False","ceil(level original / 2), minimo 1.","Reduzir apenas o level de entrada com ceil(original/2).","True"
"Server/data/scripts/actions/objects/imbuement_shrine","","Server/data/scripts/actions/objects/imbuement_shrine.lua","4","B_KEY_ACCESS","if configManager.getBoolean(configKeys.TOGGLE_IMBUEMENT_SHRINE_STORAGE) and player:getStorageValue(Storage.Quest.U11_02.ForgottenKnowledge.Tomes) ~= 1 then","Storage.Quest.U11_02.ForgottenKnowledge.Tomes","","","","","False","False","False","","","Condiciona acesso/progresso; requer revisao contextual.","False","Preservado apos revisao: nao comprovado como gate puramente fisico.","Permitir passagem sem chave; nao entregar nem consumir chave.","True"
